reaction_id,substrate_smiles,substrate_class,leaving_group,reagent_smiles,reagent_role,solvent_type,temperature_class,mechanism_class
824,CCCCI,1°,I,[OH-],strong_base,polar_protic,room_temp,SN2
825,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,non_polar,low,other
826,CBr,methyl,Br,CN-,strong_nucleophile,polar_protic,room_temp,SN2
827,CI,methyl,I,CO,weak_nucleophile,polar_aprotic,low,SN2
828,CCCCI,1°,I,CN-,strong_nucleophile,polar_aprotic,room_temp,SN2
829,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,polar_aprotic,heat,SN2
830,CI,methyl,I,Br,acid,polar_aprotic,heat,other
831,CCCCl,1°,Cl,RS-,strong_nucleophile,polar_aprotic,heat,SN2
832,CC(C)(C)Cl,3°,Cl,CO,weak_nucleophile,non_polar,low,other
833,CC(C)CBr,1°,Br,Cl2,radical_source,polar_protic,low,other
834,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,low,other
835,CCCCl,1°,Cl,Cl,acid,non_polar,low,other
836,CCC(C)(C)Br,3°,Br,O,weak_nucleophile,polar_aprotic,heat,other
837,CC(C)(C)Cl,3°,Cl,Br2,radical_source,polar_aprotic,room_temp,other
838,CCC(C)(C)I,3°,I,I-,strong_nucleophile,polar_aprotic,heat,other
839,CCC(C)(C)I,3°,I,CN-,strong_nucleophile,polar_aprotic,heat,other
840,CI,methyl,I,O,weak_nucleophile,non_polar,room_temp,SN2
841,CC(C)(C)Cl,3°,Cl,Cl2,radical_source,polar_aprotic,room_temp,other
842,CCl,methyl,Cl,Br,acid,non_polar,low,other
843,CCl,methyl,Cl,CO,weak_nucleophile,polar_aprotic,low,SN2
844,CCC,alkane,None,Cl2,radical_source,polar_protic,room_temp,radical_substitution
845,CC(C)Br,2°,Br,CO,weak_nucleophile,polar_protic,room_temp,SN1
846,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,non_polar,heat,other
847,CCC(C)(C)Br,3°,Br,Cl,acid,non_polar,room_temp,other
848,CCC(C)Cl,2°,Cl,Cl,acid,polar_aprotic,room_temp,other
849,CC(C)Br,2°,Br,Cl2,radical_source,non_polar,room_temp,other
850,C=CC,alkene,None,Br2,radical_source,polar_protic,room_temp,electrophilic_addition
851,CC(C)I,2°,I,CN-,strong_nucleophile,polar_aprotic,low,SN2
852,CCC(C)Cl,2°,Cl,CC[O-],strong_base,non_polar,low,other
853,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_aprotic,heat,E2
854,CCC(C)(C)I,3°,I,[OH-],strong_base,polar_aprotic,low,E2
855,CC(C)(C)Cl,3°,Cl,Cl2,radical_source,polar_protic,room_temp,other
856,CCCCI,1°,I,RS-,strong_nucleophile,polar_protic,room_temp,SN2
857,CC(C)Br,2°,Br,O,weak_nucleophile,polar_aprotic,heat,other
858,CI,methyl,I,RS-,strong_nucleophile,non_polar,heat,SN2
859,C=CC,alkene,None,Br,acid,non_polar,heat,electrophilic_addition
860,C=CC,alkene,None,Cl,acid,polar_aprotic,room_temp,electrophilic_addition
861,CCCCI,1°,I,Br,acid,non_polar,heat,other
862,CCCCl,1°,Cl,RS-,strong_nucleophile,polar_protic,heat,SN2
863,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_protic,heat,E2
864,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_protic,low,other
865,CCBr,1°,Br,CO,weak_nucleophile,polar_aprotic,room_temp,SN2
866,CCC(C)(C)Br,3°,Br,Cl2,radical_source,non_polar,room_temp,other
867,CI,methyl,I,Cl2,radical_source,non_polar,low,other
868,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,room_temp,other
869,CC(C)I,2°,I,CC[O-],strong_base,polar_aprotic,low,other
870,CCl,methyl,Cl,I-,strong_nucleophile,non_polar,low,SN2
871,CCBr,1°,Br,Br,acid,polar_protic,room_temp,other
872,CC(C)I,2°,I,O,weak_nucleophile,polar_aprotic,heat,other
873,CCC(C)Cl,2°,Cl,Cl,acid,non_polar,room_temp,other
874,CCCCl,1°,Cl,I-,strong_nucleophile,non_polar,heat,SN2
875,CC(C)I,2°,I,[OH-],strong_base,polar_aprotic,room_temp,other
876,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,polar_aprotic,low,other
877,CCC(C)(C)Br,3°,Br,CN-,strong_nucleophile,polar_aprotic,heat,other
878,CCBr,1°,Br,RS-,strong_nucleophile,non_polar,room_temp,SN2
879,CBr,methyl,Br,I-,strong_nucleophile,polar_protic,heat,SN2
880,CC(C)C,alkane,None,Cl2,radical_source,polar_protic,room_temp,radical_substitution
881,CCC(C)(C)I,3°,I,Cl,acid,polar_aprotic,low,other
882,CCC(C)(C)Br,3°,Br,Cl2,radical_source,non_polar,heat,other
883,CBr,methyl,Br,Br2,radical_source,polar_aprotic,room_temp,other
884,CCC(C)(C)I,3°,I,Cl,acid,polar_aprotic,room_temp,other
885,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,polar_aprotic,low,SN2
886,CCBr,1°,Br,RS-,strong_nucleophile,polar_aprotic,low,SN2
887,CBr,methyl,Br,CC[O-],strong_base,polar_protic,room_temp,SN2
888,CCC(C)(C)Br,3°,Br,[OH-],strong_base,polar_aprotic,heat,E2
889,CCC(C)Cl,2°,Cl,RS-,strong_nucleophile,polar_protic,low,other
890,CCCCl,1°,Cl,CO,weak_nucleophile,polar_aprotic,low,SN2
891,CC(C)(C)Br,3°,Br,Br2,radical_source,polar_aprotic,heat,other
892,CCl,methyl,Cl,O,weak_nucleophile,non_polar,low,SN2
893,CC(C)(C)Br,3°,Br,Br2,radical_source,polar_aprotic,low,other
894,CC(C)Br,2°,Br,RS-,strong_nucleophile,polar_protic,heat,other
895,CC(C)(C)Cl,3°,Cl,Cl2,radical_source,polar_aprotic,heat,other
896,C=C(C)C,alkene,None,Cl2,radical_source,polar_aprotic,heat,electrophilic_addition
897,C=C(C)C,alkene,None,Br2,radical_source,polar_aprotic,low,electrophilic_addition
898,CCC(C)Cl,2°,Cl,[OH-],strong_base,polar_protic,low,other
899,BrC1CCCCC1,2°,Br,O,weak_nucleophile,polar_aprotic,heat,other
900,CCBr,1°,Br,Br2,radical_source,non_polar,low,other
901,CC(C)(C)Cl,3°,Cl,RS-,strong_nucleophile,polar_aprotic,room_temp,other
902,CCC(C)Cl,2°,Cl,CC[O-],strong_base,non_polar,room_temp,other
903,CCC(C)(C)I,3°,I,Br2,radical_source,polar_protic,heat,other
904,CCCCI,1°,I,I-,strong_nucleophile,polar_protic,low,SN2
905,CCC(C)Cl,2°,Cl,CN-,strong_nucleophile,polar_aprotic,heat,SN2
906,CCBr,1°,Br,Cl2,radical_source,polar_aprotic,heat,other
907,CCC(C)Cl,2°,Cl,CN-,strong_nucleophile,non_polar,low,other
908,CCC(C)(C)I,3°,I,RS-,strong_nucleophile,polar_aprotic,low,other
909,CI,methyl,I,Cl2,radical_source,polar_aprotic,low,other
910,CC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_protic,heat,E1
911,CI,methyl,I,Br,acid,polar_protic,heat,other
912,CCC(C)(C)I,3°,I,RS-,strong_nucleophile,polar_aprotic,heat,other
913,C=C,alkene,None,Cl2,radical_source,polar_aprotic,room_temp,electrophilic_addition
914,CC(C)CBr,1°,Br,CN-,strong_nucleophile,polar_protic,low,SN2
915,CCC(C)Cl,2°,Cl,CC[O-],strong_base,non_polar,heat,E2
916,CCl,methyl,Cl,Br2,radical_source,non_polar,room_temp,other
917,CC(C)I,2°,I,CC[O-],strong_base,polar_protic,heat,E2
918,CC(C)Br,2°,Br,Cl,acid,polar_protic,heat,other
919,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,polar_protic,room_temp,other
920,CCC,alkane,None,Cl2,radical_source,non_polar,heat,radical_substitution
921,CBr,methyl,Br,Br2,radical_source,polar_protic,heat,other
922,CCl,methyl,Cl,Br2,radical_source,polar_protic,heat,other
923,CC(C)(C)Cl,3°,Cl,CO,weak_nucleophile,polar_protic,room_temp,SN1
924,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,non_polar,heat,other
925,CCl,methyl,Cl,CO,weak_nucleophile,polar_aprotic,low,SN2
926,CC(C)Br,2°,Br,CN-,strong_nucleophile,non_polar,heat,other
927,CCC(C)(C)Br,3°,Br,CC[O-],strong_base,polar_aprotic,low,E2
928,CCBr,1°,Br,Cl2,radical_source,polar_aprotic,room_temp,other
929,CCCCl,1°,Cl,Br2,radical_source,polar_protic,low,other
930,C=C(C)C,alkene,None,Br2,radical_source,polar_aprotic,heat,electrophilic_addition
931,CCC(C)Cl,2°,Cl,[OH-],strong_base,polar_protic,room_temp,other
932,CBr,methyl,Br,CN-,strong_nucleophile,polar_protic,heat,SN2
933,CCCCI,1°,I,CC[O-],strong_base,polar_aprotic,low,SN2
934,CCCCl,1°,Cl,I-,strong_nucleophile,polar_protic,room_temp,SN2
935,C=CC,alkene,None,Br2,radical_source,polar_aprotic,room_temp,electrophilic_addition
936,CCC(C)(C)I,3°,I,Cl2,radical_source,non_polar,room_temp,other
937,CI,methyl,I,Cl2,radical_source,polar_aprotic,room_temp,other
938,CCCCl,1°,Cl,Cl2,radical_source,polar_aprotic,low,other
939,CCBr,1°,Br,I-,strong_nucleophile,polar_protic,room_temp,SN2
940,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_protic,low,other
941,CC(C)(C)Cl,3°,Cl,I-,strong_nucleophile,polar_protic,room_temp,other
942,CC(C)Br,2°,Br,Br2,radical_source,non_polar,room_temp,other
943,CCCCI,1°,I,Cl,acid,polar_protic,low,other
944,CC(C)(C)Br,3°,Br,CC[O-],strong_base,polar_aprotic,heat,E2
945,C=CC,alkene,None,Br,acid,non_polar,low,electrophilic_addition
946,CC(C)CBr,1°,Br,RS-,strong_nucleophile,polar_protic,low,SN2
947,CC(C)Br,2°,Br,RS-,strong_nucleophile,polar_protic,heat,other
948,CCCCI,1°,I,CO,weak_nucleophile,non_polar,room_temp,SN2
949,CCC(C)(C)I,3°,I,I-,strong_nucleophile,polar_protic,heat,other
950,CI,methyl,I,RS-,strong_nucleophile,polar_protic,room_temp,SN2
951,CCC(C)Cl,2°,Cl,CO,weak_nucleophile,polar_protic,heat,SN1
952,CCC(C)Cl,2°,Cl,Cl2,radical_source,polar_protic,low,other
953,CCC(C)Cl,2°,Cl,CN-,strong_nucleophile,non_polar,low,other
954,CCl,methyl,Cl,Br2,radical_source,polar_aprotic,low,other
955,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,non_polar,low,other
956,CCCCI,1°,I,CN-,strong_nucleophile,non_polar,heat,SN2
957,CCl,methyl,Cl,O,weak_nucleophile,polar_aprotic,room_temp,SN2
958,CCCCI,1°,I,O,weak_nucleophile,polar_aprotic,low,SN2
959,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_aprotic,room_temp,E2
960,CI,methyl,I,CO,weak_nucleophile,non_polar,low,SN2
961,C=C(C)C,alkene,None,Br,acid,polar_protic,room_temp,electrophilic_addition
962,CCC(C)(C)I,3°,I,I-,strong_nucleophile,polar_aprotic,room_temp,other
963,CCC(C)(C)I,3°,I,CO,weak_nucleophile,polar_protic,heat,E1
964,CCCCl,1°,Cl,Cl,acid,polar_protic,room_temp,other
965,CC(C)CBr,1°,Br,Br,acid,polar_aprotic,room_temp,other
966,CC(C)I,2°,I,Br,acid,polar_protic,heat,other
967,CC(C)(C)Cl,3°,Cl,Br,acid,polar_protic,low,other
968,CCCCl,1°,Cl,RS-,strong_nucleophile,non_polar,room_temp,SN2
969,CCC(C)(C)I,3°,I,Cl,acid,polar_aprotic,low,other
970,CC(C)Br,2°,Br,CO,weak_nucleophile,polar_protic,room_temp,SN1
971,CCC(C)(C)Br,3°,Br,[OH-],strong_base,polar_aprotic,heat,E2
972,CBr,methyl,Br,Cl2,radical_source,polar_aprotic,room_temp,other
973,CCl,methyl,Cl,[OH-],strong_base,polar_protic,room_temp,SN2
974,CI,methyl,I,CN-,strong_nucleophile,non_polar,low,SN2
975,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,polar_aprotic,room_temp,other
976,C=C,alkene,None,Br,acid,polar_protic,heat,electrophilic_addition
977,CI,methyl,I,[OH-],strong_base,polar_protic,low,SN2
978,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_aprotic,heat,SN2
979,CC(C)CBr,1°,Br,I-,strong_nucleophile,polar_aprotic,room_temp,SN2
980,C=C,alkene,None,Cl,acid,non_polar,low,electrophilic_addition
981,BrC1CCCCC1,2°,Br,[OH-],strong_base,polar_protic,room_temp,other
982,CCCCl,1°,Cl,RS-,strong_nucleophile,polar_aprotic,heat,SN2
983,CC(C)(C)Cl,3°,Cl,CO,weak_nucleophile,polar_protic,heat,E1
984,CCC(C)(C)Br,3°,Br,I-,strong_nucleophile,polar_aprotic,low,other
985,CI,methyl,I,CN-,strong_nucleophile,polar_aprotic,heat,SN2
986,CC(C)I,2°,I,Cl2,radical_source,polar_aprotic,heat,other
987,CC(C)CBr,1°,Br,Br,acid,polar_protic,heat,other
988,CC(C)(C)Br,3°,Br,I-,strong_nucleophile,polar_protic,low,other
989,CC(C)Br,2°,Br,RS-,strong_nucleophile,polar_protic,room_temp,other
990,CC(C)CBr,1°,Br,Cl,acid,polar_protic,low,other
991,CC(C)Br,2°,Br,RS-,strong_nucleophile,non_polar,room_temp,other
992,CCCCI,1°,I,CC[O-],strong_base,polar_aprotic,low,SN2
993,CC(C)(C)Cl,3°,Cl,Br2,radical_source,polar_aprotic,room_temp,other
994,BrC1CCCCC1,2°,Br,RS-,strong_nucleophile,non_polar,low,other
995,CCC(C)(C)Br,3°,Br,O,weak_nucleophile,polar_aprotic,heat,other
996,CC(C)(C)Cl,3°,Cl,Cl,acid,polar_aprotic,room_temp,other
997,CCC(C)Cl,2°,Cl,I-,strong_nucleophile,non_polar,low,other
998,C=CC,alkene,None,Cl,acid,polar_protic,low,electrophilic_addition
999,CCC(C)Cl,2°,Cl,[OH-],strong_base,non_polar,heat,E2
1000,CC(C)(C)Cl,3°,Cl,I-,strong_nucleophile,non_polar,low,other
1001,CI,methyl,I,RS-,strong_nucleophile,polar_protic,room_temp,SN2
1002,CBr,methyl,Br,Cl,acid,polar_aprotic,heat,other
1003,CCCCl,1°,Cl,CO,weak_nucleophile,polar_aprotic,room_temp,SN2
1004,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,non_polar,low,other
1005,CCC(C)Cl,2°,Cl,Cl,acid,polar_protic,heat,other
1006,CI,methyl,I,CC[O-],strong_base,polar_aprotic,heat,SN2
1007,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,polar_protic,room_temp,other
1008,CC(C)I,2°,I,Br,acid,non_polar,low,other
1009,CI,methyl,I,Br2,radical_source,polar_aprotic,room_temp,other
1010,CCC(C)(C)Br,3°,Br,[OH-],strong_base,polar_aprotic,heat,E2
1011,CC(C)I,2°,I,CO,weak_nucleophile,polar_protic,low,SN1
1012,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_aprotic,heat,SN2
1013,CCC(C)(C)I,3°,I,[OH-],strong_base,polar_protic,room_temp,E2
1014,CC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_aprotic,low,other
1015,CCCCI,1°,I,CO,weak_nucleophile,polar_protic,heat,SN2
1016,CC(C)I,2°,I,[OH-],strong_base,polar_protic,heat,E2
1017,C=CC,alkene,None,Br,acid,non_polar,room_temp,electrophilic_addition
1018,CBr,methyl,Br,RS-,strong_nucleophile,polar_aprotic,low,SN2
1019,CC(C)I,2°,I,O,weak_nucleophile,non_polar,low,other
1020,CCCCl,1°,Cl,[OH-],strong_base,non_polar,room_temp,SN2
1021,C=C(C)C,alkene,None,Cl,acid,polar_aprotic,room_temp,electrophilic_addition
1022,CCC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_aprotic,room_temp,other
1023,CCC(C)(C)I,3°,I,CO,weak_nucleophile,polar_aprotic,room_temp,other
1024,CCCCI,1°,I,Cl2,radical_source,non_polar,low,other
1025,CBr,methyl,Br,CN-,strong_nucleophile,polar_aprotic,low,SN2
1026,CCCCI,1°,I,O,weak_nucleophile,polar_aprotic,room_temp,SN2
1027,CCC(C)(C)Br,3°,Br,CN-,strong_nucleophile,non_polar,room_temp,other
1028,CI,methyl,I,I-,strong_nucleophile,non_polar,room_temp,SN2
1029,CCl,methyl,Cl,O,weak_nucleophile,non_polar,heat,SN2
1030,CBr,methyl,Br,Cl,acid,polar_aprotic,low,other
1031,CC(C)CBr,1°,Br,[OH-],strong_base,polar_aprotic,heat,SN2
1032,CC(C)CBr,1°,Br,Cl,acid,polar_protic,heat,other
1033,CCC(C)Cl,2°,Cl,[OH-],strong_base,polar_aprotic,low,other
1034,CC(C)I,2°,I,CN-,strong_nucleophile,polar_aprotic,low,SN2
1035,CCl,methyl,Cl,[OH-],strong_base,polar_protic,low,SN2
1036,CC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_aprotic,heat,other
1037,CCBr,1°,Br,CC[O-],strong_base,polar_aprotic,low,SN2
1038,CC(C)CBr,1°,Br,CN-,strong_nucleophile,polar_aprotic,low,SN2
1039,CCC(C)(C)I,3°,I,RS-,strong_nucleophile,non_polar,heat,other
1040,C=C,alkene,None,Br2,radical_source,polar_protic,low,electrophilic_addition
1041,CCC(C)(C)I,3°,I,O,weak_nucleophile,polar_protic,low,SN1
1042,CCl,methyl,Cl,RS-,strong_nucleophile,non_polar,heat,SN2
1043,CCl,methyl,Cl,CO,weak_nucleophile,polar_protic,heat,SN2
1044,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,low,other
1045,CBr,methyl,Br,[OH-],strong_base,polar_aprotic,low,SN2
1046,CCBr,1°,Br,Br2,radical_source,polar_protic,low,other
1047,CCCCI,1°,I,RS-,strong_nucleophile,polar_protic,heat,SN2
1048,CC(C)C,alkane,None,Br2,radical_source,non_polar,room_temp,radical_substitution
1049,CBr,methyl,Br,I-,strong_nucleophile,polar_protic,room_temp,SN2
1050,BrC1CCCCC1,2°,Br,RS-,strong_nucleophile,non_polar,low,other
1051,CCl,methyl,Cl,[OH-],strong_base,non_polar,room_temp,SN2
1052,CCCCI,1°,I,O,weak_nucleophile,polar_aprotic,heat,SN2
1053,C=C(C)C,alkene,None,Cl2,radical_source,polar_protic,low,electrophilic_addition
1054,CC(C)(C)Br,3°,Br,O,weak_nucleophile,polar_protic,low,SN1
1055,CCC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,low,other
1056,CCC(C)(C)Br,3°,Br,Br,acid,polar_protic,low,other
1057,CCC(C)Cl,2°,Cl,Cl2,radical_source,polar_protic,low,other
1058,CCC(C)Cl,2°,Cl,RS-,strong_nucleophile,non_polar,room_temp,other
1059,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,polar_aprotic,low,SN2
1060,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_protic,heat,other
1061,CCC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_aprotic,low,other
1062,CCC(C)(C)Br,3°,Br,Br,acid,non_polar,low,other
1063,CCCCI,1°,I,Cl2,radical_source,polar_aprotic,heat,other
1064,CCCCl,1°,Cl,Cl,acid,polar_protic,room_temp,other
1065,CCC(C)(C)Br,3°,Br,Cl,acid,polar_protic,room_temp,other
1066,CCl,methyl,Cl,RS-,strong_nucleophile,polar_protic,low,SN2
1067,CCC(C)(C)I,3°,I,Cl2,radical_source,non_polar,room_temp,other
1068,CC(C)CBr,1°,Br,CN-,strong_nucleophile,polar_protic,low,SN2
1069,CC(C)I,2°,I,O,weak_nucleophile,polar_protic,room_temp,SN1
1070,CCC(C)Cl,2°,Cl,CO,weak_nucleophile,polar_aprotic,heat,other
1071,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,non_polar,room_temp,other
1072,CBr,methyl,Br,[OH-],strong_base,polar_protic,low,SN2
1073,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,polar_protic,heat,other
1074,CCCCI,1°,I,CC[O-],strong_base,polar_aprotic,low,SN2
1075,CCl,methyl,Cl,Br2,radical_source,non_polar,room_temp,other
1076,CC(C)(C)Cl,3°,Cl,O,weak_nucleophile,polar_protic,room_temp,SN1
1077,CCCCI,1°,I,Br2,radical_source,polar_protic,heat,other
1078,CC(C)Br,2°,Br,Br,acid,polar_protic,low,other
1079,C=CC,alkene,None,Cl,acid,non_polar,low,electrophilic_addition
1080,CCCCl,1°,Cl,O,weak_nucleophile,polar_protic,room_temp,SN2
1081,CI,methyl,I,CC[O-],strong_base,polar_aprotic,room_temp,SN2
1082,CI,methyl,I,[OH-],strong_base,polar_aprotic,heat,SN2
1083,CC(C)Br,2°,Br,Cl,acid,polar_aprotic,low,other
1084,CC(C)Br,2°,Br,CC[O-],strong_base,polar_aprotic,room_temp,other
1085,CCC(C)Cl,2°,Cl,I-,strong_nucleophile,polar_protic,low,other
1086,CCBr,1°,Br,RS-,strong_nucleophile,polar_aprotic,room_temp,SN2
1087,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,polar_protic,low,other
1088,CCC(C)(C)Br,3°,Br,Br2,radical_source,polar_aprotic,low,other
1089,CCC(C)(C)I,3°,I,RS-,strong_nucleophile,polar_aprotic,heat,other
1090,CBr,methyl,Br,CO,weak_nucleophile,polar_protic,room_temp,SN2
1091,CC(C)Br,2°,Br,O,weak_nucleophile,polar_aprotic,room_temp,other
1092,CC(C)I,2°,I,[OH-],strong_base,polar_protic,low,other
1093,CBr,methyl,Br,Cl2,radical_source,polar_aprotic,low,other
1094,CCCCl,1°,Cl,Cl2,radical_source,polar_aprotic,heat,other
1095,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_protic,room_temp,E2
1096,CC(C)I,2°,I,Cl,acid,polar_aprotic,room_temp,other
1097,CCBr,1°,Br,RS-,strong_nucleophile,non_polar,heat,SN2
1098,CCC(C)Cl,2°,Cl,CC[O-],strong_base,polar_aprotic,room_temp,other
1099,C=C,alkene,None,Cl,acid,polar_aprotic,heat,electrophilic_addition
1100,CC(C)Br,2°,Br,Cl2,radical_source,polar_protic,room_temp,other
1101,CCC(C)(C)Br,3°,Br,Br2,radical_source,polar_protic,low,other
1102,CC(C)CBr,1°,Br,CN-,strong_nucleophile,polar_protic,heat,SN2
1103,CC(C)CBr,1°,Br,CO,weak_nucleophile,polar_aprotic,low,SN2
1104,CC(C)Br,2°,Br,RS-,strong_nucleophile,polar_aprotic,heat,SN2
1105,CCBr,1°,Br,I-,strong_nucleophile,polar_aprotic,heat,SN2
1106,CCCCl,1°,Cl,Cl2,radical_source,polar_protic,heat,other
1107,CCC(C)(C)I,3°,I,I-,strong_nucleophile,non_polar,room_temp,other
1108,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,non_polar,heat,other
1109,CCCCI,1°,I,CO,weak_nucleophile,non_polar,room_temp,SN2
1110,CI,methyl,I,RS-,strong_nucleophile,polar_aprotic,room_temp,SN2
1111,CCCCl,1°,Cl,RS-,strong_nucleophile,polar_protic,room_temp,SN2
1112,CC(C)Br,2°,Br,Br2,radical_source,polar_aprotic,heat,other
1113,CC(C)I,2°,I,Cl,acid,polar_aprotic,heat,other
1114,CCC(C)Cl,2°,Cl,O,weak_nucleophile,polar_protic,room_temp,SN1
1115,CC(C)Br,2°,Br,Br2,radical_source,polar_aprotic,heat,other
1116,CC(C)CBr,1°,Br,Br2,radical_source,polar_aprotic,heat,other
1117,CCC(C)Cl,2°,Cl,Br2,radical_source,non_polar,room_temp,other
1118,CBr,methyl,Br,Cl,acid,polar_protic,heat,other
1119,CC(C)Br,2°,Br,Br2,radical_source,polar_aprotic,heat,other
1120,CCC(C)(C)I,3°,I,I-,strong_nucleophile,polar_aprotic,room_temp,other
1121,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,polar_aprotic,low,other
1122,CCBr,1°,Br,I-,strong_nucleophile,polar_protic,heat,SN2
1123,CC(C)Br,2°,Br,Br2,radical_source,non_polar,heat,other
1124,CC(C)I,2°,I,CC[O-],strong_base,non_polar,room_temp,other
1125,CI,methyl,I,Br,acid,polar_aprotic,heat,other
1126,CCC(C)Cl,2°,Cl,CN-,strong_nucleophile,polar_aprotic,heat,SN2
1127,CCC(C)(C)I,3°,I,O,weak_nucleophile,non_polar,low,other
1128,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_protic,room_temp,other
1129,CCCCI,1°,I,CO,weak_nucleophile,polar_aprotic,room_temp,SN2
1130,C=CC,alkene,None,Br,acid,non_polar,low,electrophilic_addition
1131,C=C,alkene,None,Cl2,radical_source,polar_aprotic,low,electrophilic_addition
1132,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,polar_aprotic,low,other
1133,CCl,methyl,Cl,Br,acid,polar_protic,heat,other
1134,BrC1CCCCC1,2°,Br,Br,acid,non_polar,low,other
1135,CC(C)(C)Br,3°,Br,Br,acid,polar_protic,room_temp,other
1136,CCC(C)(C)I,3°,I,Br2,radical_source,polar_aprotic,heat,other
1137,CBr,methyl,Br,Cl2,radical_source,polar_aprotic,low,other
1138,CCC(C)(C)I,3°,I,Cl,acid,polar_protic,low,other
1139,C=CC,alkene,None,Cl2,radical_source,polar_protic,low,electrophilic_addition
1140,CCC(C)Cl,2°,Cl,Cl2,radical_source,polar_aprotic,heat,other
1141,CC(C)I,2°,I,[OH-],strong_base,polar_aprotic,low,other
1142,CCC(C)(C)I,3°,I,O,weak_nucleophile,polar_aprotic,room_temp,other
1143,CCCCl,1°,Cl,Cl2,radical_source,polar_protic,room_temp,other
1144,CCl,methyl,Cl,RS-,strong_nucleophile,polar_protic,low,SN2
1145,CC(C)Br,2°,Br,Br,acid,polar_protic,low,other
1146,CBr,methyl,Br,[OH-],strong_base,polar_protic,heat,SN2
1147,CC(C)(C)Cl,3°,Cl,Br,acid,polar_protic,low,other
1148,CBr,methyl,Br,[OH-],strong_base,polar_aprotic,room_temp,SN2
1149,BrC1CCCCC1,2°,Br,[OH-],strong_base,non_polar,heat,E2
1150,CCCCl,1°,Cl,[OH-],strong_base,polar_aprotic,low,SN2
1151,CCBr,1°,Br,Cl2,radical_source,polar_protic,heat,other
1152,CCC,alkane,None,Cl2,radical_source,polar_aprotic,room_temp,radical_substitution
1153,CCC(C)(C)Br,3°,Br,Br2,radical_source,polar_aprotic,heat,other
1154,CCBr,1°,Br,Cl2,radical_source,polar_protic,low,other
1155,CCC,alkane,None,Br2,radical_source,non_polar,room_temp,radical_substitution
1156,CCC(C)(C)I,3°,I,Br2,radical_source,polar_aprotic,heat,other
1157,CCCCl,1°,Cl,Br2,radical_source,non_polar,low,other
1158,CC(C)CBr,1°,Br,[OH-],strong_base,non_polar,heat,SN2
1159,CC(C)CBr,1°,Br,CC[O-],strong_base,polar_protic,heat,SN2
1160,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_aprotic,low,E2
1161,CC(C)I,2°,I,I-,strong_nucleophile,polar_aprotic,low,SN2
1162,CCBr,1°,Br,CO,weak_nucleophile,non_polar,heat,SN2
1163,CBr,methyl,Br,CN-,strong_nucleophile,polar_protic,low,SN2
1164,CC(C)CBr,1°,Br,CC[O-],strong_base,polar_aprotic,heat,SN2
1165,CCl,methyl,Cl,Cl2,radical_source,non_polar,low,other
1166,CCCCI,1°,I,[OH-],strong_base,non_polar,room_temp,SN2
1167,CCl,methyl,Cl,Cl2,radical_source,polar_aprotic,room_temp,other
1168,CCl,methyl,Cl,[OH-],strong_base,non_polar,heat,SN2
1169,CC(C)CBr,1°,Br,Br,acid,polar_protic,heat,other
1170,CBr,methyl,Br,[OH-],strong_base,polar_aprotic,low,SN2
1171,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_aprotic,room_temp,SN2
